rho1,rho3,theta1_final,theta2_final,theta3_final,theta12_ratio_analytical,theta12_ratio_simulation,theta12_ratio_error,theta32_ratio_analytical,theta32_ratio_simulation,theta32_ratio_error,workspace_area,path_length,rmse,max_error,tension_final
1.0,1.5,50.61452140286026,52.557143661157646,24.363798523300325,1.3232871075917316,0.9630379026907987,0.36024920490093293,0.5250416946480599,0.4635677821530166,0.06147391249504336,0.003674648833290019,0.17179993104916116,24.2779822717124,52.560573153607095,70.38465739405926
1.0,2.0,51.536508597542785,54.29032436791664,17.98877814358947,1.3232871075917316,0.9492761223581628,0.3740109852335688,0.393781270986045,0.3313440903701821,0.0624371806158629,0.003725824121866446,0.17315149688369014,25.057262465906096,55.0420538185775,72.33572397927351
1.0,4.0,52.765755098628624,56.69725818339385,8.678337885664272,1.3232871075917314,0.9306579681146429,0.39262913947708855,0.19689063549302246,0.15306450723936565,0.04382612825365681,0.0037765216302678727,0.17453698071876686,26.57735277045349,59.32927798445199,75.05453640277806
1.5,0.25,28.676337144389514,38.41494233020231,90.04842783155833,0.8821914050611545,0.7464891369065995,0.135702268154555,3.1502501678883594,2.34409899818491,0.8061511697034494,0.0021164187874812062,0.1295011279752686,30.564593850973832,73.99604423466111,54.31036925249252
1.5,0.5,31.680955015339464,43.40235349492947,72.90344153892154,0.8821914050611545,0.7299363390291871,0.15225506603196737,1.5751250839441797,1.6797117130396757,0.10458662909549599,0.0025462682304240696,0.1405194566340316,23.98792718500876,41.73087611758656,60.05209167735205
1.5,0.75,35.195578821440634,49.63859329944229,53.08486852626714,0.8821914050611545,0.7090365879050016,0.17315481715615288,1.0500833892961199,1.0694273346151324,0.019343945319012512,0.0027457299573041376,0.14798203134720572,23.958594038135846,37.08371023759259,67.10965549232215
1.5,1.0,37.26072220011332,53.48992440773351,40.44646351573014,0.8821914050611546,0.696593285795076,0.1855981192660786,0.7875625419720899,0.7561510688895727,0.03141147308251713,0.0028502959210422586,0.1521416157117502,24.43438810908825,40.499805790925265,71.44154828618063
1.5,1.5,39.31907013002302,57.46185536022953,26.656870886361695,0.8821914050611545,0.6842638457030491,0.19792755935810535,0.5250416946480599,0.46390550251552504,0.061136192132534906,0.002939501529043143,0.155640869446826,25.390644799448786,44.71900239789452,75.92574581409849
1.5,2.0,40.28123171412321,59.361901542915206,19.64764369161633,0.8821914050611545,0.6785704410934716,0.2036209639676828,0.39378127098604493,0.330980699420692,0.0628005715653529,0.0029733802363379937,0.15693058086710154,26.139628138111128,47.24432204723402,78.08969783308174
1.5,4.0,41.57753457356801,61.96100731631558,9.435301248348683,0.8821914050611545,0.6710274150533349,0.2111639900078196,0.19689063549302246,0.15227804803399603,0.04461258745902644,0.003001363318178077,0.1581773829270669,27.811272207724382,51.70973044193383,81.083008170433
